time_iso8601,forks_cumulative
2025-07-26 00:00:00+00:00,44725
2025-07-27 00:00:00+00:00,44732
2025-07-28 00:00:00+00:00,44738
2025-07-29 00:00:00+00:00,44745
2025-07-30 00:00:00+00:00,44751
2025-07-31 00:00:00+00:00,44765
2025-08-01 00:00:00+00:00,44776
2025-08-02 00:00:00+00:00,44785
2025-08-03 00:00:00+00:00,44794
2025-08-04 00:00:00+00:00,44798
2025-08-05 00:00:00+00:00,44805
2025-08-06 00:00:00+00:00,44818
2025-08-07 00:00:00+00:00,44824
2025-08-08 00:00:00+00:00,44833
2025-08-09 00:00:00+00:00,44839
2025-08-10 00:00:00+00:00,44844
2025-08-11 00:00:00+00:00,44856
2025-08-12 00:00:00+00:00,44865
2025-08-13 00:00:00+00:00,44877
2025-08-14 00:00:00+00:00,44884
2025-08-15 00:00:00+00:00,44889
2025-08-16 00:00:00+00:00,44901
2025-08-17 00:00:00+00:00,44904
2025-08-18 00:00:00+00:00,44906
2025-08-19 00:00:00+00:00,44912
2025-08-20 00:00:00+00:00,44919
2025-08-21 00:00:00+00:00,44930
2025-08-22 00:00:00+00:00,44935
2025-08-23 00:00:00+00:00,44939
2025-08-24 00:00:00+00:00,44947
2025-08-25 00:00:00+00:00,44955
2025-08-26 00:00:00+00:00,44963
2025-08-27 00:00:00+00:00,44969
2025-08-28 00:00:00+00:00,44977
2025-08-29 00:00:00+00:00,44986
2025-08-30 00:00:00+00:00,44990
2025-08-31 00:00:00+00:00,44997
2025-09-01 00:00:00+00:00,45003
2025-09-02 00:00:00+00:00,45009
2025-09-03 00:00:00+00:00,45016
2025-09-04 00:00:00+00:00,45021
2025-09-05 00:00:00+00:00,45029
2025-09-06 00:00:00+00:00,45031
2025-09-07 00:00:00+00:00,45039
2025-09-08 00:00:00+00:00,45049
2025-09-09 00:00:00+00:00,45054
2025-09-10 00:00:00+00:00,45061
2025-09-11 00:00:00+00:00,45065
2025-09-12 00:00:00+00:00,45071
2025-09-13 00:00:00+00:00,45073
2025-09-14 00:00:00+00:00,45081
2025-09-15 00:00:00+00:00,45089
2025-09-16 00:00:00+00:00,45095
2025-09-17 00:00:00+00:00,45101
2025-09-18 00:00:00+00:00,45103
2025-09-19 00:00:00+00:00,45113
2025-09-20 00:00:00+00:00,45121
2025-09-21 00:00:00+00:00,45122
2025-09-22 00:00:00+00:00,45125
2025-09-23 00:00:00+00:00,45130
2025-09-24 00:00:00+00:00,45136
2025-09-25 00:00:00+00:00,45146
2025-09-26 00:00:00+00:00,45155
2025-09-27 00:00:00+00:00,45158
2025-09-28 00:00:00+00:00,45167
